Crossresult Race ID	Race/Category Name	Average Points of all starters	Racer Count	Race Date	Region	Lat	Lon	Gender
2453	Cross Vegas: Men Pro-1-2 Elite 	203.169353075577	71	00:00.0	California	36.255123	-115.2383485	M
3034	CXLA Sunday: Elite Men	218.873499466561	37	00:00.0	California	34.0522342	-118.2436849	M
3181	Chicago Cyclocross Cup New Year's Resolution Day 1: Men Pro/Cat 1/2  	219.075258751246	29	00:00.0	North Central	41.9575285	-88.0809036	M
2483	USGP Planet Bike Cup #2: Men Pro/Cat 1  	220.775308783005	68	00:00.0	North Central	43.1836046	-89.2137254	M
2853	USGP #6: Derby City Cup Day 2: Men Pro/Cat 1  	222.636244712621	71	00:00.0	North Central	38.2526647	-85.7584557	M
2852	USGP #5: Derby City Cup Day 1: Men Pro/Cat 1  	222.810379646989	75	00:00.0	North Central	38.2526647	-85.7584557	M
2420	Ellison Park Cyclocross Day 1: Men Cat 1/2  	223.529144514407	29	00:00.0	New York/Ontario	43.16103	-77.6109219	M
2421	Ellison Park Cyclocross Day 2: Men Cat 1/2  	224.092418966418	29	00:00.0	New York/Ontario	43.16103	-77.6109219	M
3182	Chicago Cyclocross Cup New Year's Resolution Day 2: Men Pro/Cat 1/2  	224.244185802507	34	00:00.0	North Central	41.9575285	-88.0809036	M
3032	CXLA Saturday: Men Elite	225.678874052	45	00:00.0	California	34.0522342	-118.2436849	M
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Men	225.682002353883	81	00:00.0	New England	42.6159285	-70.6619888	M
2534	Providence Cyclocross Festival Day 1: UCI Elite Men                                     	226.044651829478	77	00:00.0	New England	41.8239891	-71.4128343	M
2619	USGP #4: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	226.778691396474	80	00:00.0	Mountain West	40.5852602	-105.084423	M
2546	Providence Cyclocross Festival Day 2: UCI Elite Men	227.782179231522	61	00:00.0	New England	41.8239891	-71.4128343	M
2922	The 2012 UCI Carousel Volkswagen Jingle Cross Rock Day 3: Elite men	228.244743078538	36	00:00.0	North Central	41.6611277	-91.5301683	M
3214	Kings International Cyclocross: Men UCI Elite Men  	228.300970767636	39	00:00.0	North Central	39.3600586	-84.309939	M
2482	USGP Planet Bike Cup #1: Men Pro/Cat 1  	228.909877512095	62	00:00.0	North Central	43.1836046	-89.2137254	M
2921	The 2012 UCI Carousel Volkswagen Jingle Cross Rock - Day 2: Men Cat 1/2  	229.092366751251	39	00:00.0	North Central	41.6611277	-91.5301683	M
2617	USGP #3: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	229.291423832203	85	00:00.0	Mountain West	40.5852602	-105.084423	M
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Men	229.420972225349	89	00:00.0	New England	42.6159285	-70.6619888	M
2782	Victory Circle Graphix Boulder Cup: Men UCI Elite 	231.435223732415	54	00:00.0	Mountain West	40.0149856	-105.2705456	M
2920	The UCI Carousel Volkswagen Jingle Cross Rock - Rock 1: Men Cat 1/2  	233.777760426275	35	00:00.0	North Central	41.6611277	-91.5301683	M
2670	2012 Downeast Cyclocross Weekend Day 1: UCI Elite Men	234.756360015274	29	00:00.0	New England	43.962853	-70.2825536	M
3026	NBX Gran Prix Day 2: UCI Elite Men	234.987012970885	38	00:00.0	New England	41.7001009	-71.4161671	M
2672	2012 Downeast Cyclocross Weekend Day 2: UCI Elite Men	235.239132202709	33	00:00.0	New England	43.962853	-70.2825536	M
2759	Colorado Cross Classic: Men Cat 1/2/3/4/5 Senior 	235.361680824184	47	00:00.0	Mountain West	40.0149856	-105.2705456	M
3115	USGP #7: Deschutes Brewery Cup: Men Cat A	235.558704611109	67	00:00.0	Pacific Northwest	44.0581728	-121.3153096	M
2428	Green Mountain Cyclocross Day 2: UCI Elite Men	235.764409198439	44	00:00.0	New England	44.4452778	-73.0991667	M
2505	Gateway Cross Cup: Men Pro/Cat 1  	237.258042463094	19	00:00.0	North Central	38.666233	-90.331081	M
3070	Super Cross Cup Day 2: UCI Elite Men	237.300980280399	22	00:00.0	New York/Ontario	40.7139898	-73.5590157	M
3143	North Carolina Grand Prix Day 2: Men UCI Elite 	237.765603539888	30	00:00.0	Southeast	35.3187279	-82.4609528	M
2950	Bay State Cyclocross Day 1: UCI Elite Men	238.005791072433	42	00:00.0	New England	42.4374156	-71.7606293	M
2964	Baystate Cyclocross Day 2: UCI Elite Men	238.715002753069	41	00:00.0	New England	42.4374156	-71.7606293	M
2799	Cincy3 Harbin Park: Men UCI Elite Men 1/2  	239.229474060303	55	00:00.0	North Central	39.3454673	-84.5603187	M
2786	Cycle-Smart International Day 2: UCI Elite Men	239.287718722527	65	00:00.0	New England	42.3250896	-72.6412013	M
2437	Nittany Cross Day 1: UCI Men	239.45207660763	39	00:00.0	Mid Atlantic	40.5393961	-75.631484	M
2426	Green Mountain Cyclocross Day 1: UCI Elite Men	239.931270300686	44	00:00.0	New England	44.4452778	-73.0991667	M
2797	Cincy3 Cyclo-Stampede, p/b Darkhorse Racing: Men Elite Men 1/2  	241.148071837648	46	00:00.0	North Central	39.0836712	-84.5085536	M
3142	North Carolina Grand Prix : Men UCI Elite 	241.381273601466	34	00:00.0	Southeast	35.3187279	-82.4609528	M
2735	Spooky Kross Day 1: Men UCI Elite 	241.6470776889	30	00:00.0	California	34.0552267	-117.7523048	M
3025	NBX Gran Prix Day 1: UCI Elite Men	241.713113767949	48	00:00.0	New England	41.7001009	-71.4161671	M
2739	Highland Park Cyclocross: UCI Elite Men	242.099963381501	36	00:00.0	Mid Atlantic	40.3526079	-74.4401513	M
3068	Super Cross Cup Day 1: UCI Elite Men	242.248313824411	25	00:00.0	New York/Ontario	40.7139898	-73.5590157	M
2784	Cycle-Smart International Day 1: UCI Elite Men	242.400702199809	66	00:00.0	New England	42.3250896	-72.6412013	M
2443	Nittany Lion Cross Day 2: UCI Men	243.640979567189	42	00:00.0	Mid Atlantic	40.5479136	-75.6059177	M
2800	Cincy3: Lionheart International at Kings CX: Men UCI Elite Men  	243.968325235458	47	00:00.0	North Central	39.3600586	-84.309939	M
2736	Spooky Kross Day 2: Men UCI Elite 	244.245324335441	29	00:00.0	California	34.0552267	-117.7523048	M
3196	Cross Nationals Day 5: Men UCI Elite 	244.842565904795	82	00:00.0	North Central	42.990831	-89.5331773	M
2470	Charm City Cyclocross Day 2: UCI Elite Men	245.794650353585	44	00:00.0	Mid Atlantic	39.2903848	-76.6121893	M
2469	Charm City Cyclocross Day 1: UCI Elite Men	251.385393521442	43	00:00.0	Mid Atlantic	39.2903848	-76.6121893	M
3118	USGP #8: Deschutes Brewery Cup: Men Cat A	275.995810466307	62	00:00.0	Pacific Northwest	44.0581728	-121.3153096	M
3214	Kings International Cyclocross: Women UCI Elite Women  	341.635963124203	12	00:00.0	North Central	39.3600586	-84.309939	W
2482	USGP Planet Bike Cup #1: Women Pro/Cat 1  	354.218974152948	30	00:00.0	North Central	43.1836046	-89.2137254	W
3115	USGP #7: Deschutes Brewery Cup: Women Cat A	354.571209404892	36	00:00.0	Pacific Northwest	44.0581728	-121.3153096	W
3034	CXLA Sunday: Elite Women	355.526417839529	20	00:00.0	California	34.0522342	-118.2436849	W
3118	USGP #8: Deschutes Brewery Cup: Women Cat A	355.949936828495	33	00:00.0	Pacific Northwest	44.0581728	-121.3153096	W
2483	USGP Planet Bike Cup #2: Women Pro/Cat 1  	357.24929471334	31	00:00.0	North Central	43.1836046	-89.2137254	W
2920	The UCI Carousel Volkswagen Jingle Cross Rock - Rock 1: Women Cat 1/2  	359.358613445387	24	00:00.0	North Central	41.6611277	-91.5301683	W
2853	USGP #6: Derby City Cup Day 2: Women Pro/Cat 1  	362.25719278224	48	00:00.0	North Central	38.2526647	-85.7584557	W
2852	USGP #5: Derby City Cup Day 1: Women Pro/Cat 1  	364.62807487425	48	00:00.0	North Central	38.2526647	-85.7584557	W
2922	The 2012 UCI Carousel Volkswagen Jingle Cross Rock Day 3: Elite women	365.490069506826	22	00:00.0	North Central	41.6611277	-91.5301683	W
2797	Cincy3 Cyclo-Stampede, p/b Darkhorse Racing: Women Elite Women 1/2  	366.161439010252	16	00:00.0	North Central	39.0836712	-84.5085536	W
2420	Ellison Park Cyclocross Day 1: Women Cat 1/2  	368.152390358311	15	00:00.0	New York/Ontario	43.16103	-77.6109219	W
2921	The 2012 UCI Carousel Volkswagen Jingle Cross Rock - Day 2: Women Cat 1/2  	368.800921716832	23	00:00.0	North Central	41.6611277	-91.5301683	W
3032	CXLA Saturday: Women Elite	370.211138682965	23	00:00.0	California	34.0522342	-118.2436849	W
2799	Cincy3 Harbin Park: Women UCI Elite Women  	372.922071680177	23	00:00.0	North Central	39.3454673	-84.5603187	W
2453	Cross Vegas: Women  Elite 	373.664032574611	46	00:00.0	California	36.255123	-115.2383485	W
2421	Ellison Park Cyclocross Day 2: Women Cat 1/2/3  	374.38281873297	16	00:00.0	New York/Ontario	43.16103	-77.6109219	W
2800	Cincy3: Lionheart International at Kings CX: Women UCI Elite Women  	375.182167294484	24	00:00.0	North Central	39.3600586	-84.309939	W
2759	Colorado Cross Classic: Women  Senior 	376.403092899992	24	00:00.0	Mountain West	40.0149856	-105.2705456	W
2782	Victory Circle Graphix Boulder Cup: Women UCI Elite 	376.517289547249	22	00:00.0	Mountain West	40.0149856	-105.2705456	W
3182	Chicago Cyclocross Cup New Year's Resolution Day 2: Women Pro/Cat 1/2  	376.827634427161	12	00:00.0	North Central	41.9575285	-88.0809036	W
2617	USGP #3: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	377.023505900822	46	00:00.0	Mountain West	40.5852602	-105.084423	W
2619	USGP #4: SmartWool Cup p/b FC Bikes: Women Pro/Cat 1  	377.931334111496	47	00:00.0	Mountain West	40.5852602	-105.084423	W
3181	Chicago Cyclocross Cup New Year's Resolution Day 1: Women Pro/Cat 1/2  	379.131512634167	16	00:00.0	North Central	41.9575285	-88.0809036	W
2736	Spooky Kross Day 2: Women UCI Elite 	382.15696596285	15	00:00.0	California	34.0552267	-117.7523048	W
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Women	384.387693196006	52	00:00.0	New England	42.6159285	-70.6619888	W
2534	Providence Cyclocross Festival Day 1: UCI Elite Women                                   	387.18914464041	45	00:00.0	New England	41.8239891	-71.4128343	W
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Women	388.075076138404	48	00:00.0	New England	42.6159285	-70.6619888	W
3068	Super Cross Cup Day 1: UCI Elite Women	389.92142803754	15	00:00.0	New York/Ontario	40.7139898	-73.5590157	W
3025	NBX Gran Prix Day 1: UCI Elite Women	390.709683248097	35	00:00.0	New England	41.7001009	-71.4161671	W
2505	Gateway Cross Cup: Women Pro/Cat 1  	390.807847877998	10	00:00.0	North Central	38.666233	-90.331081	W
2964	Baystate Cyclocross Day 2: UCI Elite Women	392.350112955041	29	00:00.0	New England	42.4374156	-71.7606293	W
2735	Spooky Kross Day 1: Women UCI Elite 	392.901008970866	16	00:00.0	California	34.0552267	-117.7523048	W
3196	Cross Nationals Day 5: Women UCI Elite 	394.276872414402	78	00:00.0	North Central	42.990831	-89.5331773	W
3143	North Carolina Grand Prix Day 2: Women UCI Elite 	394.71289461333	15	00:00.0	Southeast	35.3187279	-82.4609528	W
3026	NBX Gran Prix Day 2: UCI Elite Women	395.149784552113	34	00:00.0	New England	41.7001009	-71.4161671	W
2546	Providence Cyclocross Festival Day 2: UCI Elite Women	396.788049282613	41	00:00.0	New England	41.8239891	-71.4128343	W
3070	Super Cross Cup Day 2: UCI Elite Women	397.588208530199	12	00:00.0	New York/Ontario	40.7139898	-73.5590157	W
3142	North Carolina Grand Prix : Women UCI Elite 	399.042697107911	18	00:00.0	Southeast	35.3187279	-82.4609528	W
2437	Nittany Cross Day 1: UCI Women	400.808674082258	25	00:00.0	Mid Atlantic	40.5393961	-75.631484	W
2950	Bay State Cyclocross Day 1: UCI Elite Women	403.844816288528	33	00:00.0	New England	42.4374156	-71.7606293	W
2443	Nittany Lion Cross Day 2: UCI Women  	410.99092085738	24	00:00.0	Mid Atlantic	40.5479136	-75.6059177	W
2672	2012 Downeast Cyclocross Weekend Day 2: UCI Elite Women	411.357478013729	17	00:00.0	New England	43.962853	-70.2825536	W
2784	Cycle-Smart International Day 1: UCI Elite Women	412.250236767683	34	00:00.0	New England	42.3250896	-72.6412013	W
2670	2012 Downeast Cyclocross Weekend Day 1: UCI Elite Women	412.918556563431	16	00:00.0	New England	43.962853	-70.2825536	W
2428	Green Mountain Cyclocross Day 2: UCI Elite Women	413.008534013085	25	00:00.0	New England	44.4452778	-73.0991667	W
2786	Cycle-Smart International Day 2: UCI Elite Women	415.576724077319	36	00:00.0	New England	42.3250896	-72.6412013	W
2426	Green Mountain Cyclocross Day 1: UCI Elite Women	419.25930212711	23	00:00.0	New England	44.4452778	-73.0991667	W
2470	Charm City Cyclocross Day 2: UCI Elite Women/Masters Women 35+	426.128585590583	32	00:00.0	Mid Atlantic	39.2903848	-76.6121893	W
2469	Charm City Cyclocross Day 1: UCI Elite Women/Masters Women 35+	428.556562546464	32	00:00.0	Mid Atlantic	39.2903848	-76.6121893	W
2739	Highland Park Cyclocross: UCI Elite Women	430.980049925664	22	00:00.0	Mid Atlantic	40.3526079	-74.4401513	W